Area,Date,date,Claims
Georgia,03/07/2020,Mar 07,4401
Georgia,03/14/2020,Mar 14,5248
Georgia,03/21/2020,Mar 21,11707
Georgia,03/28/2020,Mar 28,130544
Georgia,04/04/2020,Apr 04,377105
Georgia,04/11/2020,Apr 11,294035
Georgia,04/18/2020,Apr 18,243320
Georgia,04/25/2020,Apr 25,262615
Georgia,05/02/2020,May 02,224794
Georgia,05/09/2020,May 09,240092
Georgia,05/16/2020,May 16,175327
Georgia,05/23/2020,May 23,163304
Georgia,05/30/2020,May 30,147237
Georgia,06/06/2020,Jun 06,133390
Georgia,06/13/2020,Jun 13,130053
Georgia,06/20/2020,Jun 20,123760
Georgia,06/27/2020,Jun 27,115350
Georgia,07/04/2020,Jul 04,103363
Georgia,07/11/2020,Jul 11,136010
Georgia,07/18/2020,Jul 18,119966
Georgia,07/25/2020,Jul 25,84379
Georgia,08/01/2020,Aug 01,72517
Georgia,08/08/2020,Aug 08,62139
Georgia,08/15/2020,Aug 15,57924
Georgia,08/22/2020,Aug 22,53965
Georgia,08/29/2020,Aug 29,50396
Georgia,09/05/2020,Sep 05,49969
Georgia,09/12/2020,Sep 12,41989
Georgia,09/19/2020,Sep 19,48367
Georgia,09/26/2020,Sep 26,42966
Georgia,10/03/2020,Oct 03,43778
Georgia,10/10/2020,Oct 10,53258
Georgia,10/17/2020,Oct 17,43931
Georgia,10/24/2020,Oct 24,43280
Georgia,10/31/2020,Oct 31,36582
Georgia,11/07/2020,Nov 07,23106
Georgia,11/14/2020,Nov 14,19083
Georgia,11/21/2020,Nov 21,26629
Georgia,11/28/2020,Nov 28,18540
Georgia,12/05/2020,Dec 05,32307
Georgia,12/12/2020,Dec 12,23241
Appling County,03/07/2020,Mar 07,5
Appling County,03/14/2020,Mar 14,6
Appling County,03/21/2020,Mar 21,5
Appling County,03/28/2020,Mar 28,143
Appling County,04/04/2020,Apr 04,322
Appling County,04/11/2020,Apr 11,300
Appling County,04/18/2020,Apr 18,274
Appling County,04/25/2020,Apr 25,318
Appling County,05/02/2020,May 02,279
Appling County,05/09/2020,May 09,229
Appling County,05/16/2020,May 16,191
Appling County,05/23/2020,May 23,149
Appling County,05/30/2020,May 30,133
Appling County,06/06/2020,Jun 06,131
Appling County,06/13/2020,Jun 13,115
Appling County,06/20/2020,Jun 20,138
Appling County,06/27/2020,Jun 27,124
Appling County,07/04/2020,Jul 04,100
Appling County,07/11/2020,Jul 11,134
Appling County,07/18/2020,Jul 18,129
Appling County,07/25/2020,Jul 25,86
Appling County,08/01/2020,Aug 01,64
Appling County,08/08/2020,Aug 08,64
Appling County,08/15/2020,Aug 15,74
Appling County,08/22/2020,Aug 22,60
Appling County,08/29/2020,Aug 29,53
Appling County,09/05/2020,Sep 05,63
Appling County,09/12/2020,Sep 12,55
Appling County,09/19/2020,Sep 19,57
Appling County,09/26/2020,Sep 26,56
Appling County,10/03/2020,Oct 03,66
Appling County,10/10/2020,Oct 10,90
Appling County,10/17/2020,Oct 17,59
Appling County,10/24/2020,Oct 24,58
Appling County,10/31/2020,Oct 31,89
Appling County,11/07/2020,Nov 07,34
Appling County,11/14/2020,Nov 14,29
Appling County,11/21/2020,Nov 21,34
Appling County,11/28/2020,Nov 28,30
Appling County,12/05/2020,Dec 05,38
Appling County,12/12/2020,Dec 12,32
Atkinson County,03/07/2020,Mar 07,25
Atkinson County,03/14/2020,Mar 14,20
Atkinson County,03/21/2020,Mar 21,16
Atkinson County,03/28/2020,Mar 28,285
Atkinson County,04/04/2020,Apr 04,964
Atkinson County,04/11/2020,Apr 11,857
Atkinson County,04/18/2020,Apr 18,829
Atkinson County,04/25/2020,Apr 25,755
Atkinson County,05/02/2020,May 02,694
Atkinson County,05/09/2020,May 09,635
Atkinson County,05/16/2020,May 16,466
Atkinson County,05/23/2020,May 23,476
Atkinson County,05/30/2020,May 30,404
Atkinson County,06/06/2020,Jun 06,449
Atkinson County,06/13/2020,Jun 13,423
Atkinson County,06/20/2020,Jun 20,295
Atkinson County,06/27/2020,Jun 27,306
Atkinson County,07/04/2020,Jul 04,297
Atkinson County,07/11/2020,Jul 11,333
Atkinson County,07/18/2020,Jul 18,363
Atkinson County,07/25/2020,Jul 25,271
Atkinson County,08/01/2020,Aug 01,245
Atkinson County,08/08/2020,Aug 08,155
Atkinson County,08/15/2020,Aug 15,163
Atkinson County,08/22/2020,Aug 22,136
Atkinson County,08/29/2020,Aug 29,133
Atkinson County,09/05/2020,Sep 05,138
Atkinson County,09/12/2020,Sep 12,136
Atkinson County,09/19/2020,Sep 19,156
Atkinson County,09/26/2020,Sep 26,146
Atkinson County,10/03/2020,Oct 03,132
Atkinson County,10/10/2020,Oct 10,163
Atkinson County,10/17/2020,Oct 17,113
Atkinson County,10/24/2020,Oct 24,138
Atkinson County,10/31/2020,Oct 31,121
Atkinson County,11/07/2020,Nov 07,83
Atkinson County,11/14/2020,Nov 14,64
Atkinson County,11/21/2020,Nov 21,104
Atkinson County,11/28/2020,Nov 28,76
Atkinson County,12/05/2020,Dec 05,99
Atkinson County,12/12/2020,Dec 12,91
Bacon County,03/07/2020,Mar 07,41
Bacon County,03/14/2020,Mar 14,5
Bacon County,03/21/2020,Mar 21,7
Bacon County,03/28/2020,Mar 28,64
Bacon County,04/04/2020,Apr 04,216
Bacon County,04/11/2020,Apr 11,144
Bacon County,04/18/2020,Apr 18,218
Bacon County,04/25/2020,Apr 25,187
Bacon County,05/02/2020,May 02,176
Bacon County,05/09/2020,May 09,166
Bacon County,05/16/2020,May 16,170
Bacon County,05/23/2020,May 23,152
Bacon County,05/30/2020,May 30,122
Bacon County,06/06/2020,Jun 06,106
Bacon County,06/13/2020,Jun 13,122
Bacon County,06/20/2020,Jun 20,111
Bacon County,06/27/2020,Jun 27,98
Bacon County,07/04/2020,Jul 04,90
Bacon County,07/11/2020,Jul 11,121
Bacon County,07/18/2020,Jul 18,98
Bacon County,07/25/2020,Jul 25,81
Bacon County,08/01/2020,Aug 01,79
Bacon County,08/08/2020,Aug 08,64
Bacon County,08/15/2020,Aug 15,69
Bacon County,08/22/2020,Aug 22,54
Bacon County,08/29/2020,Aug 29,59
Bacon County,09/05/2020,Sep 05,64
Bacon County,09/12/2020,Sep 12,37
Bacon County,09/19/2020,Sep 19,37
Bacon County,09/26/2020,Sep 26,55
Bacon County,10/03/2020,Oct 03,54
Bacon County,10/10/2020,Oct 10,48
Bacon County,10/17/2020,Oct 17,56
Bacon County,10/24/2020,Oct 24,45
Bacon County,10/31/2020,Oct 31,42
Bacon County,11/07/2020,Nov 07,25
Bacon County,11/14/2020,Nov 14,20
Bacon County,11/21/2020,Nov 21,25
Bacon County,11/28/2020,Nov 28,20
Bacon County,12/05/2020,Dec 05,33
Bacon County,12/12/2020,Dec 12,25
Baker County,03/07/2020,Mar 07,2
Baker County,03/14/2020,Mar 14,6
Baker County,03/21/2020,Mar 21,2
Baker County,03/28/2020,Mar 28,21
Baker County,04/04/2020,Apr 04,73
Baker County,04/11/2020,Apr 11,63
Baker County,04/18/2020,Apr 18,54
Baker County,04/25/2020,Apr 25,53
Baker County,05/02/2020,May 02,67
Baker County,05/09/2020,May 09,47
Baker County,05/16/2020,May 16,44
Baker County,05/23/2020,May 23,28
Baker County,05/30/2020,May 30,22
Baker County,06/06/2020,Jun 06,34
Baker County,06/13/2020,Jun 13,20
Baker County,06/20/2020,Jun 20,19
Baker County,06/27/2020,Jun 27,22
Baker County,07/04/2020,Jul 04,22
Baker County,07/11/2020,Jul 11,33
Baker County,07/18/2020,Jul 18,32
Baker County,07/25/2020,Jul 25,20
Baker County,08/01/2020,Aug 01,18
Baker County,08/08/2020,Aug 08,15
Baker County,08/15/2020,Aug 15,14
Baker County,08/22/2020,Aug 22,8
Baker County,08/29/2020,Aug 29,12
Baker County,09/05/2020,Sep 05,9
Baker County,09/12/2020,Sep 12,10
Baker County,09/19/2020,Sep 19,9
Baker County,09/26/2020,Sep 26,10
Baker County,10/03/2020,Oct 03,10
Baker County,10/10/2020,Oct 10,6
Baker County,10/17/2020,Oct 17,10
Baker County,10/24/2020,Oct 24,9
Baker County,10/31/2020,Oct 31,6
Baker County,11/07/2020,Nov 07,6
Baker County,11/14/2020,Nov 14,4
