Area,Date,date,Claims
Georgia,01/02/2021,Jan 02,34695
Georgia,03/07/2020,Mar 07,5083
Georgia,03/14/2020,Mar 14,5913
Georgia,03/21/2020,Mar 21,12432
Georgia,03/28/2020,Mar 28,139381
Georgia,04/04/2020,Apr 04,406444
Georgia,04/11/2020,Apr 11,320253
Georgia,04/18/2020,Apr 18,267204
Georgia,04/25/2020,Apr 25,285056
Georgia,05/02/2020,May 02,245334
Georgia,05/09/2020,May 09,260384
Georgia,05/16/2020,May 16,191426
Georgia,05/23/2020,May 23,179332
Georgia,05/30/2020,May 30,159966
Georgia,06/06/2020,Jun 06,145241
Georgia,06/13/2020,Jun 13,142310
Georgia,06/20/2020,Jun 20,134585
Georgia,06/27/2020,Jun 27,125723
Georgia,07/04/2020,Jul 04,112901
Georgia,07/11/2020,Jul 11,148618
Georgia,07/18/2020,Jul 18,131221
Georgia,07/25/2020,Jul 25,92398
Georgia,08/01/2020,Aug 01,79161
Georgia,08/08/2020,Aug 08,67923
Georgia,08/15/2020,Aug 15,63459
Georgia,08/22/2020,Aug 22,59058
Georgia,08/29/2020,Aug 29,55306
Georgia,09/05/2020,Sep 05,54651
Georgia,09/12/2020,Sep 12,45992
Georgia,09/19/2020,Sep 19,53137
Georgia,09/26/2020,Sep 26,47137
Georgia,10/03/2020,Oct 03,48073
Georgia,10/10/2020,Oct 10,58242
Georgia,10/17/2020,Oct 17,48248
Georgia,10/24/2020,Oct 24,47403
Georgia,10/31/2020,Oct 31,40202
Georgia,11/07/2020,Nov 07,25324
Georgia,11/14/2020,Nov 14,20970
Georgia,11/21/2020,Nov 21,29350
Georgia,11/28/2020,Nov 28,20557
Georgia,12/05/2020,Dec 05,35916
Georgia,12/12/2020,Dec 12,25600
Georgia,12/19/2020,Dec 19,25760
Georgia,12/26/2020,Dec 26,20906
Appling County,01/02/2021,Jan 02,50
Appling County,03/07/2020,Mar 07,5
Appling County,03/14/2020,Mar 14,6
Appling County,03/21/2020,Mar 21,5
Appling County,03/28/2020,Mar 28,143
Appling County,04/04/2020,Apr 04,322
Appling County,04/11/2020,Apr 11,300
Appling County,04/18/2020,Apr 18,274
Appling County,04/25/2020,Apr 25,318
Appling County,05/02/2020,May 02,279
Appling County,05/09/2020,May 09,229
Appling County,05/16/2020,May 16,191
Appling County,05/23/2020,May 23,149
Appling County,05/30/2020,May 30,133
Appling County,06/06/2020,Jun 06,131
Appling County,06/13/2020,Jun 13,115
Appling County,06/20/2020,Jun 20,138
Appling County,06/27/2020,Jun 27,124
Appling County,07/04/2020,Jul 04,100
Appling County,07/11/2020,Jul 11,134
Appling County,07/18/2020,Jul 18,129
Appling County,07/25/2020,Jul 25,86
Appling County,08/01/2020,Aug 01,64
Appling County,08/08/2020,Aug 08,64
Appling County,08/15/2020,Aug 15,74
Appling County,08/22/2020,Aug 22,60
Appling County,08/29/2020,Aug 29,53
Appling County,09/05/2020,Sep 05,63
Appling County,09/12/2020,Sep 12,55
Appling County,09/19/2020,Sep 19,57
Appling County,09/26/2020,Sep 26,56
Appling County,10/03/2020,Oct 03,66
Appling County,10/10/2020,Oct 10,90
Appling County,10/17/2020,Oct 17,59
Appling County,10/24/2020,Oct 24,58
Appling County,10/31/2020,Oct 31,89
Appling County,11/07/2020,Nov 07,34
Appling County,11/14/2020,Nov 14,29
Appling County,11/21/2020,Nov 21,34
Appling County,11/28/2020,Nov 28,30
Appling County,12/05/2020,Dec 05,38
Appling County,12/12/2020,Dec 12,32
Appling County,12/19/2020,Dec 19,34
Appling County,12/26/2020,Dec 26,21
Atkinson County,01/02/2021,Jan 02,278
Atkinson County,03/07/2020,Mar 07,50
Atkinson County,03/14/2020,Mar 14,40
Atkinson County,03/21/2020,Mar 21,32
Atkinson County,03/28/2020,Mar 28,570
Atkinson County,04/04/2020,Apr 04,1928
Atkinson County,04/11/2020,Apr 11,1714
Atkinson County,04/18/2020,Apr 18,1658
Atkinson County,04/25/2020,Apr 25,1510
Atkinson County,05/02/2020,May 02,1388
Atkinson County,05/09/2020,May 09,1270
Atkinson County,05/16/2020,May 16,932
Atkinson County,05/23/2020,May 23,952
Atkinson County,05/30/2020,May 30,808
Atkinson County,06/06/2020,Jun 06,898
Atkinson County,06/13/2020,Jun 13,846
Atkinson County,06/20/2020,Jun 20,590
Atkinson County,06/27/2020,Jun 27,612
Atkinson County,07/04/2020,Jul 04,594
Atkinson County,07/11/2020,Jul 11,666
Atkinson County,07/18/2020,Jul 18,726
Atkinson County,07/25/2020,Jul 25,542
Atkinson County,08/01/2020,Aug 01,490
Atkinson County,08/08/2020,Aug 08,310
Atkinson County,08/15/2020,Aug 15,326
Atkinson County,08/22/2020,Aug 22,272
Atkinson County,08/29/2020,Aug 29,266
Atkinson County,09/05/2020,Sep 05,276
Atkinson County,09/12/2020,Sep 12,272
Atkinson County,09/19/2020,Sep 19,312
Atkinson County,09/26/2020,Sep 26,292
Atkinson County,10/03/2020,Oct 03,264
Atkinson County,10/10/2020,Oct 10,326
Atkinson County,10/17/2020,Oct 17,226
Atkinson County,10/24/2020,Oct 24,276
Atkinson County,10/31/2020,Oct 31,242
Atkinson County,11/07/2020,Nov 07,166
Atkinson County,11/14/2020,Nov 14,128
Atkinson County,11/21/2020,Nov 21,208
Atkinson County,11/28/2020,Nov 28,152
Atkinson County,12/05/2020,Dec 05,198
Atkinson County,12/12/2020,Dec 12,182
Atkinson County,12/19/2020,Dec 19,196
Atkinson County,12/26/2020,Dec 26,196
Bacon County,01/02/2021,Jan 02,76
Bacon County,03/07/2020,Mar 07,82
Bacon County,03/14/2020,Mar 14,10
Bacon County,03/21/2020,Mar 21,14
Bacon County,03/28/2020,Mar 28,128
Bacon County,04/04/2020,Apr 04,432
Bacon County,04/11/2020,Apr 11,288
Bacon County,04/18/2020,Apr 18,436
Bacon County,04/25/2020,Apr 25,374
Bacon County,05/02/2020,May 02,352
Bacon County,05/09/2020,May 09,332
Bacon County,05/16/2020,May 16,340
Bacon County,05/23/2020,May 23,304
Bacon County,05/30/2020,May 30,244
Bacon County,06/06/2020,Jun 06,212
Bacon County,06/13/2020,Jun 13,244
Bacon County,06/20/2020,Jun 20,222
Bacon County,06/27/2020,Jun 27,196
Bacon County,07/04/2020,Jul 04,180
Bacon County,07/11/2020,Jul 11,242
